Name,URL,Cuisines,Area,Timing,Full_Address,PhoneNumber,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost
Burma Burma,https://www.zomato.com/bangalore/burma-burma-indiranagar-bangalore,"Salad, Burmese, Asian, Tea, Beverages","Indiranagar, Bangalore",Opens at 6:30pm,"607, Ground Floor, 12th Main, Hal 2nd Stage, Indiranagar, Bangalore",+918043008120,1,1,1,0,4.9,2899,4.4,1123,,"Honey Caviar, Durian Ice Cream, Samosa Soup, Peach Juice, Khau Suey, Peanut Salad","Big Menu, Soothing Ambience, Vegan Options, Quality of Food, Interesting Menu, Pure Veg",1500
Pizza Hut,https://www.zomato.com/bangalore/pizza-hut-indiranagar,"Pizza, Fast Food, Desserts, Beverages","Indiranagar, Bangalore",9am – 4am (Today),"1/1 A, CMH Road, Indiranagar, Bangalore",+919964827578,1,1,1,0,3.8,857,3.8,5213,Pan Pizzas,"Chicken Crunch Pizza, Stuffed Crust Pizza, Triple Chicken, Masala Soda, Cheesy Garlic Bread, Veg Pizza","Affordable, Excellent Customer Service, Good Offers, Family Place, Favorite Place, Perfect Presentation",400
Leon Grill,https://www.zomato.com/bangalore/leon-grill-indiranagar,"Burger, Fast Food, Wraps, Street Food, Desserts, Beverages","Indiranagar, Bangalore",7am – 11pm (Today),"298, 100 Feet Road, Indiranagar, Bangalore",+918041469893,1,1,1,0,4.2,563,4.2,21200,,"Teriyaki Chicken Burger, Falafel Salad, Peri Fries, Peri Peri Chicken, Wraps, Chocolate Mousse","Casual Seating Area, Inexpensive, Polite Staff, Prompt Service, Combos, Portion Size",400
Onesta,https://www.zomato.com/bangalore/onesta-indiranagar-bangalore,"Pizza, Pasta, Fast Food, Desserts, Beverages, Sandwich, North Indian","Indiranagar, Bangalore","12midnight – 3am, 10am – 12midnight (Today)","501, Binnamangala Extension, 1st stage, C.M.H Road, Indiranagar, Bangalore",+918043712857,1,1,1,0,4.4,5683,3.8,1814,,"Gourmet Style Pizza, Fish Cilantro, Unlimited Pizza Buffet, Double Chocolate Cookie, Caramel Chocolate, Tandoori Panner","Peaceful Environment, Affordable, Excellent Services, Yummy Desserts, Cheap Prices, Complimentary Drinks",500
Paakashala,https://www.zomato.com/bangalore/paakashala-indiranagar-bangalore,"South Indian, North Indian, Chinese, Juices, Beverages, Shake","Indiranagar, Bangalore",7am – 10:30pm (Today),"219, 2nd Main Road, Stage 2, Hoysala Nagar, Indiranagar, Bangalore",+918431432806,1,1,1,1,4.0,92,4.0,1375,,,"Hygiene, Elaborate Menu, Perfect Presentation, Cute Packaging, Extensive Menu, Worth the Money",400
M.M.A Kabab and Rolls,https://www.zomato.com/bangalore/m-m-a-kabab-and-rolls-old-madras-road-bangalore,"North Indian, Mughlai, Chinese, Kebab, Rolls, Seafood, Arabian, Biryani","Old Madras Road, Bangalore",11am – 3am (Today),"Opposite Indiranagar Bus Depot, Old Madras Road, Bangalore",+917829237723,1,1,1,0,2.7,114,3.7,5348,,,,500
Ayodhya Vihar Pure Veg,https://www.zomato.com/bangalore/ayodhya-vihar-pure-veg-jeevan-bhima-nagar-bangalore,"North Indian, Chinese, South Indian, Beverages, Desserts, Juices, Ice Cream, Shake","Jeevan Bhima Nagar, Bangalore",7am – 10pm (Today),"1652, 10 Main Road, Jeevan Bhima Nagar, Bangalore",+917829652809,1,1,1,1,3.4,36,4.1,4607,,,"Hygiene, Fresh Food, Good Quality, Service",450
Red Kitchen,https://www.zomato.com/bangalore/red-kitchen-jeevan-bhima-nagar,"North Indian, Andhra, Chinese, Seafood, Mughlai, Biryani","Jeevan Bhima Nagar, Bangalore","12midnight – 1am, 11am – 12midnight (Today)","9, 10 Main Road, 3 Stage, Kodihalli, Jeevan Bhima Nagar, Bangalore",+917892154893,1,1,1,0,3.1,114,3.4,7398,,,"Food Quantity, Good Taste, Price, Good Food",350
Nandhana Palace,https://www.zomato.com/bangalore/nandhana-palace-indiranagar,"Biryani, Andhra, North Indian, Chinese, Mughlai, South Indian, Desserts, Beverages","Indiranagar, Bangalore",Opens at 6:30pm,"4034, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",+919663578800,1,1,1,0,4.3,1417,4.1,6051,,"Drumstick Soup, Bamboo Chicken, Fish Tawa Fry, Fried Rice Chicken, Plain Rice, Lemon Chicken","Everything was very Good, Amazing Food at Amazing Price, Amazing Vibe, Good Service Good Quality, Ample Seating Area, Family Place",800
A2B - Adyar Ananda Bhavan,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-indiranagar-bangalore,"South Indian, Fast Food, Street Food, Ice Cream, Beverages, North Indian, Chinese","Indiranagar, Bangalore",7am – 10:30pm (Today),"12, CMH Road, Shantinagara, Indiranagar, Bangalore",+917338816655,1,1,1,0,2.8,610,3.9,3851,,"Filtered Coffee, Kesari Bath, Chutneys, Pav Bhaji, Idli, Sweets","Cleanliness, Breakfast, Management, Location, Prices, Good Taste",800
Andhra Gunpowder,https://www.zomato.com/bangalore/andhra-gunpowder-jeevan-bhima-nagar-bangalore,"Biryani, South Indian, Desserts, Beverages","Jeevan Bhima Nagar, Bangalore",,"Jeevan Bhima Nagar Main Road, Ward 74, Shetty Palaza, Puttappa Layout, New Thippsandra, Near Jeevan Bhima Nagar, Bangalore",+918045025371,1,0,0,0,-,0,4.2,10400,,"Veg Thaali, Brinjal Curry, South Indian Meals, Papad, Spicy Food, Sambar","Good Quantity, Good Taste, Elaborate Menu, Worth the Money, Great Portions, Customizable Food",200
Nandhini Deluxe,https://www.zomato.com/bangalore/nandhini-deluxe-frazer-town,"Andhra, Biryani, Chinese, North Indian, Mughlai, Desserts, Beverages","Frazer Town, Bangalore",11am – 11:30pm (Today),"63, Coles Road, Frazer Town, Bangalore",+918025576688,1,1,1,0,3.8,459,4.0,4988,,"Nati Chicken Biryani, Andhra Chicken, Chicken Guntur, Murgh Ghee Roast, Chicken 65, Chilli Chicken","Faster Food Service, Extensive Bar Menu, Gastronomical Experience, Ample Seating Area, Nice Packing, Relaxed Atmosphere",700
Kanti Sweets,https://www.zomato.com/bangalore/kanti-sweets-thippasandra-bangalore,"Mithai, Street Food, Desserts","Thippasandra, Bangalore",9am – 9:30pm (Today),"34, Renuka Complex, New Thippasandra Main Road, Thippasandra, Bangalore",+918043724663,1,1,0,0,-,0,4.1,1362,,,,50
Dindigul Thalappakatti,https://www.zomato.com/bangalore/dindigul-thalappakatti-indiranagar-bangalore,"Biryani, North Indian, South Indian, Chinese, Beverages","Indiranagar, Bangalore",11am – 11pm (Today),"First Floor, 2021, Salapuria Palladium, 100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",+918042297250,1,1,1,0,4.2,722,3.8,5687,,"Mutton Varuval, Liver Fry, Mutton Sukka, Mutton Pepper, Pepper Chicken, Biryani Rice","Service and Quality of Food, Gastronomical Experience, Ample Seating Area, Packed on Weekends, Amazing Service, Family Crowd",400
Five Star Chicken,https://www.zomato.com/bangalore/five-star-chicken-12-kr-puram-bangalore,"Wraps, Burger, Rolls, Fast Food, Street Food","KR Puram, Bangalore",11am – 11pm (Today),"2007, HAL II Stage, 100 Feet Road, Indiranagar, B.B.M.P East, KR Puram, Bangalore",+919902364726,1,1,0,0,-,0,3.9,609,,,,100
Kritunga Restaurant,https://www.zomato.com/bangalore/kritunga-restaurant-marathahalli,"Andhra, Biryani, North Indian","Marathahalli, Bangalore",Opens at 6:30pm,"88, Munnekolala Village, Varthur Hobli, Mahadevpura, Marathahalli, Bangalore",+917619333334,1,1,1,0,4.0,1699,3.8,19000,their chicken biriyanis,"Natukodi Pulusu, Bamboo Chicken, Hyderabadi Chicken Curry, Ragi Mudde, Spicy Food, Briyani","Family Place, Delivery Time, Nice Taste, Good Quantity, Tasty, Nice Food",800
Donne Biriyani House,https://www.zomato.com/bangalore/donne-biriyani-house-shanti-nagar-bangalore,"Biryani, Fast Food","Shanti Nagar, Bangalore",Opens at 6:30pm,"119/1, 119/2, 4th Cross, Lalbagh Road, Shanti Nagar, Bangalore",+919739733558,1,1,1,0,3.4,7,3.9,925,,,,400
Kabab Magic,https://www.zomato.com/bangalore/kabab-magic-richmond-road-bangalore,"North Indian, Kebab, Hyderabadi, Beverages","Richmond Road, Bangalore",12:30pm – 11:30pm (Today),"17, Richmond Road, Bangalore",+918041105923,1,1,1,0,3.8,139,3.3,2743,,,,400
Polar Bear,https://www.zomato.com/bangalore/polar-bear-thippasandra-bangalore,"Ice Cream, Beverages, Shake","Thippasandra, Bangalore",11am – 1am (Today),"621/B, Unit 1, Ground Floor, 12 Main Indiranagar HAL, Stage 2, Thippasandra, Bangalore",+918041171149,1,1,1,0,3.7,43,4.3,970,,,"Fresh Food, Good Place, Good Quality, Packaging, Quantity, Service",350
Biriyani Zone,https://www.zomato.com/bangalore/biriyani-zone-cv-raman-nagar-bangalore,"Biryani, North Indian, Chinese, Mughlai, Kebab, Seafood, Ice Cream, Beverages","CV Raman Nagar, Bangalore",Opens at 6:30pm,"48/2A, 1st Cross, Amrutha Court, Opposite Hayagreeva School, Vignan Nagar, CV Raman Nagar, Bangalore",+919632846622,1,1,1,0,3.6,67,4.0,2559,,,"Fusion Dishes, Relaxed Atmosphere, Food Presentation, Spicy, Packaging, Quantity",800
Paradise Biryani,https://www.zomato.com/bangalore/paradise-biryani-hsr-bangalore,"Biryani, North Indian, Kebab","HSR, Bangalore",11am – 11pm (Today),"438, Sector 4, HSR Layout, Near HSR, Bangalore",+919110308183,1,1,1,0,3.7,326,3.8,4583,,,"Good Service Good Quality, Service is Great, Weekend Brunch, Hygiene, Good Music, Portion Size",700
Hyderabad Biryaani House,https://www.zomato.com/bangalore/hyderabad-biryaani-house-airport-road,"Biryani, North Indian, Hyderabadi, Mughlai, Chinese","Old Airport Road, Bangalore",11:30am – 11pm (Today),"25, 1st Floor, NR Chambers, Murgeshpalya, Old Airport Road, Bangalore",+919686927270,1,1,1,0,4.2,1416,4.0,25100,Their Mutton Biryani,"Authentic Hyderabadi Biryani, Chicken Dum Biryani, Egg Biryani, Mutton Biriyani, Spicy Food, Kebabs","Authenticity, Quick Delivery, Good Quantity, Preparation, Quick Service, Reasonable Price",500
Anand Sweets And Savouries,https://www.zomato.com/bangalore/anand-sweets-and-savouries-airport-road-bangalore,"Mithai, Street Food, Desserts, Beverages","Old Airport Road, Bangalore",10am – 9:30pm (Today),"7, Anjaneya Complex, Kodihalli, Old Airport Road, Bangalore",+918041256466,1,1,1,0,4.0,277,4.4,3068,,"Kaju Katli, Mysore Pak, Dahi Puri, Rasmalai, Jalebi, Sweets","Hygiene, Best Place, Spicy, Good Place",300
Subway,https://www.zomato.com/bangalore/subway-indiranagar,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps","Indiranagar, Bangalore",10:30am – 10:20pm (Today),"3, 1st Main, 2nd Stage, Off Double Road, Indiranagar, Bangalore",+918041486266,1,1,1,0,2.0,311,3.6,1741,,,"Unlimited Refills, Chirpy Crowd, Economical, Cozy Ambiance, Inexpensive, Great Recommendations",400
Sri Udupi Food Hub,https://www.zomato.com/bangalore/sri-udupi-food-hub-domlur-bangalore,"South Indian, North Indian, Chinese, Street Food, Ice Cream, Desserts, Shake, Beverages","Domlur, Bangalore",,"PID 72-9-226, 226, 2nd Stage, 2nd Phase, Domlur, Bangalore",+919845487404,1,1,1,1,3.7,151,3.9,16200,,,"Relaxed Atmosphere, Ambiance, Value for Money, Service",800
Corner House Ice Creams,https://www.zomato.com/bangalore/corner-house-ice-creams-indiranagar-bangalore,"Desserts, Ice Cream, Beverages","Indiranagar, Bangalore",11am – 11:30pm (Today),"3283, 2nd Stage, Off Double Road, Indiranagar, Bangalore",+919880846251,1,1,1,0,4.8,2408,4.5,16100,,"Thick Chocolate Shake, Brown Bomb, Cashew Fudge, Almond Fudge, Choco Bomb, Brownie Fudge Sundae","Totally Worth it, Big Menu, Pocket Friendly, Authenticity, Favorite Place, Best Places",300
Behrouz Biryani,https://www.zomato.com/bangalore/behrouz-biryani-indiranagar-bangalore,"Biryani, Mughlai","Indiranagar, Bangalore",,"191, First Floor, Chinmaya Mission Hospital Road, Hoysala Nagar, Below Metro Station, Indiranagar, Bangalore",+917700050050,1,0,0,0,-,0,3.9,3663,,"Paneer Subz Biryani, Gulab Jamun, Raita, Briyani, Chicken Biryani","Good Quantity, Packing, Flavour, Price, Food",350
MOJO Pizza - 2X Toppings,https://www.zomato.com/bangalore/mojo-pizza-2x-toppings-indiranagar-bangalore,"Pizza, Fast Food, Desserts, Beverages","Indiranagar, Bangalore",11am – 1am (Today),"Lower Ground Floor, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",+918068172526,1,1,0,0,-,0,4.3,8486,,,"Bread, Packing, Quantity, Food",250
EatFit,https://www.zomato.com/bangalore/eatfit-indiranagar-bangalore,"Mithai, North Indian, Pizza, Burger, Fast Food, Street Food, Desserts, Beverages","Indiranagar, Bangalore",,"1309, 10th Main, HAL 3rd Stage, Indiranagar, Bangalore",+919943226483,1,0,0,0,-,0,4.0,76500,healthy and wholesome meals,"Fruit Bowl, Guava Juice, Veg Hakka Noodles, Noodle, Dal Makhani, Thali","Healthy Options, Healthy Food, Great Packaging, Meals, Great Taste, Combo",200
Amma's Pastries,https://www.zomato.com/bangalore/ammas-pastries-indiranagar,Bakery,"Indiranagar, Bangalore",8am – 10pm (Today),"60, Appareddy Palya, Double Road, Indiranagar, Bangalore",+919945779231,1,1,0,0,-,0,4.4,551,,,,100
Sharief Bhai,https://www.zomato.com/bangalore/sharief-bhai-indiranagar-bangalore,"Mughlai, Arabian, Afghan, Biryani, Kebab, Street Food, Beverages","Indiranagar, Bangalore",11:30am – 12midnight (Today),"220, 13th Cross, 2nd Stage, Indiranagar, Bangalore",+918970424012,1,1,1,0,3.9,159,3.9,5537,,,"Boneless Chicken Biryani, Family Crowd, Elaborate Menu, Hygiene, Customizable Food, Fresh Food",800
Beijing Bites,https://www.zomato.com/bangalore/beijing-bites-indiranagar-bangalore,"Chinese, Thai, Seafood, Healthy Food","Indiranagar, Bangalore",Opens at 7pm,"537/2, Binnamangala 1st Stage, Ward 82, Sarvagna Nagar, Indiranagar, Bangalore",+918041132312,1,1,1,0,3.2,22,4.0,456,,,"Fresh Food, Price, Value for Money, Packaging, Experience",800
Imperial Restaurant,https://www.zomato.com/bangalore/imperial-restaurant-indiranagar,"Mughlai, North Indian, Biryani, Chinese, Seafood, Ice Cream, Desserts, Beverages","Indiranagar, Bangalore",10am – 1am (Today),"1324, 2nd Stage, Double Road, Opposite Cauvery School, Indiranagar, Bangalore",+918069994888,1,1,1,0,3.8,313,3.9,6489,,"Grill Chicken, Shawarma, Butter Chicken, Tandoori Chicken, Curry","Waiter, Prices, Good Food, Good Place, Quality, Ambience",700
WOW! Momo,https://www.zomato.com/bangalore/wow-momo-indiranagar-bangalore,"Momos, Fast Food, Tibetan","Indiranagar, Bangalore",10am – 11pm (Today),"MSK Plaza, HAL 2 Stage, Indiranagar, Bangalore",+919147104514,1,1,0,0,-,0,4.2,1400,,,"Tamper Proof Packaging, Timely Service, Worth the Money, Good Taste, Great Portions, Delicious Food",200
Al Daaz,https://www.zomato.com/bangalore/al-daaz-hsr,"North Indian, Continental, BBQ, Fast Food, Beverages","HSR, Bangalore",12noon – 1am (Today),"64 & 65, 27th Main Road, Sector 1, Near Police Station, HSR, Bangalore",+917676241111,1,1,1,0,4.2,1523,4.3,63500,,"Fried Chicken Meal, Cheesy Chicken Pasta, Spicy Wings, Green Apple Mojito, Chicken Strips, Bbq Chicken","Quantity for Money, Portion Size is Big, Family Favorite, Quantity and Quality of Food, Superb Quality, Ample Seating Area",800
New Udupi Grand,https://www.zomato.com/bangalore/new-udupi-grand-jeevan-bhima-nagar-bangalore,"South Indian, North Indian, Chinese, Street Food, Beverages, Shake","Jeevan Bhima Nagar, Bangalore",7am – 10:20pm (Today),"L 14, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",+918041304834,1,1,1,0,2.9,12,3.9,3184,,,,300
Anjappar,https://www.zomato.com/bangalore/anjappar-indiranagar,"Chettinad, Biryani, Chinese, Seafood, South Indian, Mughlai, North Indian, Desserts","Indiranagar, Bangalore",11:30am – 11:30pm (Today),"54, Defence Colony, Hal 2nd Stage, Shanthinagara, Indiranagar, Bangalore",+918041222790,1,1,1,0,3.9,852,3.9,2759,Spicy Chicken Starters,"Tender Coconut Payasam, Crab Roast, Chicken Varuval, Chettinad Chicken, Spicy Food, Mutton Biryani","Authentic Food, Parking Space, Quick Service, Decent Place, Perfect Presentation, Management",800
Barbeque Nation,https://www.zomato.com/bangalore/barbeque-nation-indiranagar,"BBQ, Mughlai, Biryani, North Indian, Desserts, Beverages","Indiranagar, Bangalore",11:30am – 11pm (Today),"4005, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",+918069028722,1,1,1,0,4.6,12900,3.6,1911,An indoor barbecue concept venue offering a 'Do-It-Yourself' grilling experience at every table,"Chocolate Brownie Devastation, Vanilla Kulfi, Kulfi Rabri Faluda, Pineapple Kesari, Chocolate Sprinkles, Fish Tikka Basa","Food and Hospitality Amazing, Great Place to Eat, Service is Decent, Service was Amazing, Variety of Selection, Everything was very Good",1600
Faasos - Wraps & Rolls,https://www.zomato.com/bangalore/faasos-wraps-rolls-indiranagar-bangalore,"North Indian, Desserts, Wraps, Beverages","Indiranagar, Bangalore",,"191, First Floor, Chinmaya Mission Hospital Road, Hoysala Nagar, Below Metro Station, Indiranagar, Bangalore",+917700020020,1,0,0,0,-,0,3.8,6138,,"Veg Wrap, Chicken Wrap, Wraps, Roll, Biryani",,200
Kwality Wall’s Frozen Dessert and Ice Cream Shop,https://www.zomato.com/bangalore/kwality-walls-frozen-dessert-and-ice-cream-shop-2-indiranagar-bangalore,Ice Cream,"Indiranagar, Bangalore",,"41/2, 14th Cross, 2nd Stage, Indiranagar, Bangalore",+919886200820,1,0,0,0,-,0,4.3,82,,,,100
